Assembly Accession	Assembly Name	Organism Name	Annotation Count Gene Total
GCF_021065005.1	ASM2106500v1	Candidatus Gromoviella agglomerans	533
GCF_001242845.1	Wobs_v01	Candidatus Westeberhardia cardiocondylae	414
GCF_002776555.1	ASM277655v1	Candidatus Legionella polyplacis	519
GCF_964031065.1	ilTilCitr1.Alphaproteobacteria_sp_1.1	Alphaproteobacteria bacterium endosymbiont of Tiliacea citrago	570
GCF_012562765.1	ASM1256276v1	Enterobacteriaceae endosymbiont of Plateumaris pusilla	492
GCF_003391335.1	ASM339133v1	Candidatus Purcelliella pentastirinorum	468
GCF_012571345.1	ASM1257134v1	Enterobacteriaceae endosymbiont of Macroplea mutica	453
GCF_964059955.1	SoDrplatanoidis-3702_v1.0	Sodalis-like secondary symbiont of Drepanosiphum platanoidis	424
GCF_900048045.1	MEPMAR	Candidatus Mikella endobia	324
GCF_964019745.1	ihAphAlni3.Zinderia_sp_1.1	Candidatus Zinderia endosymbiont of Aphrophora alni	333
GCF_000709555.1	ASM70955v1	Candidatus Walczuchella monophlebidarum	328
GCF_900090215.1	TRABTM	secondary endosymbiont of Trabutina mannipara	310
GCF_902860225.1	Azoamicus ciliaticola assembly	Candidatus Azoamicus ciliaticola	347
GCF_964030875.1	ihIcePurc2.Walczuchella_sp_1.1	Candidatus Walczuchella endosymbiont of Icerya purchasi	300
GCF_004296475.1	ASM429647v1	endosymbiont of Sipalinus gigas	266
GCF_004296515.1	ASM429651v1	endosymbiont of Pachyrhynchus infernalis	253
GCF_004296535.1	ASM429653v1	endosymbiont of Euscepes postfasciatus	245
GCF_900215245.1	IMG-taxon 2617270901 annotated assembly	Pseudomonas fluorescens	6008
GCF_000012905.2	ASM1290v2	Cereibacter sphaeroides 2.4.1	4467
GCF_019933175.1	ASM1993317v1	Edwardsiella tarda	3536
GCF_000410535.2	ASM41053v2	Treponema pallidum subsp. pallidum str. Nichols	1038
GCF_000661955.1	ASM66195v1	Stenotrophomonas rhizophila	4104
GCF_000252955.1	ASM25295v1	Xenorhabdus nematophila ATCC 19061	4220
GCF_900105335.1	IMG-taxon 2634166897 annotated assembly	Microbacterium paraoxydans	3501
GCF_000241955.1	ASM24195v1	Rahnella aquatilis CIP 78.65 = ATCC 33071	4997
GCF_900103345.1	IMG-taxon 2636416017 annotated assembly	Pseudomonas azotoformans	6113
GCF_900106065.1	IMG-taxon 2636416004 annotated assembly	Pseudomonas mandelii	6483
GCF_000953675.1	ATCC9714_	Paraclostridium sordellii	3505
GCF_900108595.1	IMG-taxon 2667527230 annotated assembly	Pseudomonas fuscovaginae	5901
GCF_900102035.1	IMG-taxon 2667527225 annotated assembly	Pseudomonas extremaustralis	6240
GCF_007066085.1	ASM706608v1	Paenibacillus thiaminolyticus	5886
GCF_016766875.1	ASM1676687v1	Chryseobacterium gleum	5217
GCF_000069785.1	ASM6978v1	Cupriavidus taiwanensis LMG 19424	5921
GCF_900105735.1	IMG-taxon 2667528168 annotated assembly	Pseudomonas yamanorum	6459
GCF_003119195.2	ASM311919v2	Azospirillum baldaniorum	6994
GCF_001598055.1	ASM159805v1	Cupriavidus nantongensis	6598
GCF_900106005.1	IMG-taxon 2675902957 annotated assembly	Pseudomonas mediterranea	5626
GCF_019444005.1	ASM1944400v1	Liquorilactobacillus nagelii DSM 13675	2566
GCF_900239935.1	PCAR91_V1	Pseudoalteromonas carrageenovora IAM 12662	4104
GCF_900105155.1	IMG-taxon 2663762789 annotated assembly	Pseudomonas prosekii	5516
GCF_032878955.1	ASM3287895v1	Butyricimonas paravirosa	4547
GCF_004758605.1	ASM475860v1	Deinococcus metallilatus	4262
GCF_000331025.1	ASM33102v1	Maridesulfovibrio hydrothermalis AM13 = DSM 14728	3331
GCF_002849855.1	ASM284985v1	Vibrio azureus	4322
GCF_002761295.1	ASM276129v1	Methanohalophilus portucalensis	2170
GCF_000210095.1	ASM21009v1	Ruminococcus champanellensis 18P13 = JCM 17042	2395
GCF_900104725.1	IMG-taxon 2634166338 annotated assembly	Actinoplanes derwentensis	9627
GCF_900105925.1	IMG-taxon 2639762615 annotated assembly	Jiangella alkaliphila	7248
GCF_900090265.1	IMG-taxon 2623620551 annotated assembly	Micromonospora rifamycinica	5967
GCF_900091445.1	IMG-taxon 2623620567 annotated assembly	Micromonospora echinofusca	6129
GCF_003058325.1	ASM305832v1	Methylobacterium currus	7247
GCF_900105475.1	IMG-taxon 2667527430 annotated assembly	Pseudomonas asplenii	5799
GCF_900103875.1	IMG-taxon 2636416065 annotated assembly	Pseudomonas arsenicoxydans	6043
GCF_900105485.1	IMG-taxon 2667527397 annotated assembly	Pseudomonas granadensis	5316
GCF_003600645.1	ASM360064v1	Yersinia rochesterensis	4026
GCF_900104895.1	IMG-taxon 2634166341 annotated assembly	Microterricola viridarii	3565
GCF_012221945.1	ASM1222194v1	Glutamicibacter mishrai	3334
GCF_003867015.1	ASM386701v1	Tenacibaculum singaporense	3208
GCF_009735645.1	ASM973564v1	Microbacterium oryzae	2863
GCF_018282095.1	ASM1828209v1	Pseudovibrio brasiliensis	5419
GCF_002874535.1	ASM287453v1	Mesobacillus jeotgali	4781
GCF_001580365.1	ASM158036v1	Kocuria turfanensis	3885
GCF_024721585.1	ASM2472158v1	Sphingomicrobium aestuariivivum	2394
GCF_900103625.1	IMG-taxon 2634166344 annotated assembly	Corynebacterium mycetoides	2204
GCF_900105865.1	IMG-taxon 2634166335 annotated assembly	Arcanobacterium phocae	1818
GCF_001656035.1	ASM165603v1	Yersinia entomophaga	3927
GCF_003033885.1	ASM303388v1	Pseudomonas rhizophila	5367
GCF_009728735.1	ASM972873v1	Pantoea phytobeneficialis	5345
GCF_900108565.1	IMG-taxon 2636415969 annotated assembly	Mycolicibacterium rutilum	5886
GCF_038024885.1	ASM3802488v1	Gordonia hydrophobica	4296
GCF_000341895.1	ASM34189v1	Pseudodesulfovibrio piezophilus C1TLV30	3341
GCF_017378515.1	ASM1737851v1	Bifidobacterium saguini	2309
GCF_000026765.1	ASM2676v1	Mesomycoplasma conjunctivae	703
GCF_000468495.1	ASM46849v1	Megalodesulfovibrio gigas DSM 1382 = ATCC 19364	3409
GCF_900089595.1	IMG-taxon 2617270871 annotated assembly	Micromonospora auratinigra	6221
GCF_900091515.1	IMG-taxon 2627854289 annotated assembly	Micromonospora purpureochromogenes	6188
GCF_900106015.1	IMG-taxon 2667527235 annotated assembly	Pseudomonas sihuiensis	5179
GCF_004319545.1	ASM431954v1	Desulfobacter hydrogenophilus	4631
GCF_025263685.1	ASM2526368v1	Geoalkalibacter halelectricus	3890
GCF_900142975.1	IMG-taxon 2698536943 annotated assembly	Salegentibacter salegens	3581
GCF_900104685.1	IMG-taxon 2634166342 annotated assembly	Agromyces flavus	3536
GCF_900167475.1	IMG-taxon 2708742384 annotated assembly	Aeromicrobium choanae	3357
GCF_003691585.1	ASM369158v1	Biomaibacter acetigenes	3547
GCF_900105445.1	IMG-taxon 2634166844 annotated assembly	Paraoerskovia marina	2744
GCF_900177405.1	IMG-taxon 2708742536 annotated assembly	Allosphingosinicella indica	2815
GCF_014117265.1	ASM1411726v1	Corynebacterium hindlerae	2606
GCF_007556775.1	ASM755677v1	Pseudoluteimonas lycopersici	2567
GCF_900105025.1	IMG-taxon 2636416177 annotated assembly	Parafannyhessea umbonata	2128
GCF_004117075.1	ASM411707v1	Fervidobacterium changbaicum	2132
GCF_013201155.1	ASM1320115v1	Berryella wangjianweii	1483
GCF_001465345.1	ASM146534v1	Enterococcus rotai	3352
GCF_023614315.1	ASM2361431v1	Streptomyces sudanensis	4838
GCF_001746855.1	ASM174685v1	Pauljensenia hongkongensis	1852
GCF_000210715.1	ASM21071v1	Fretibacterium fastidiosum	2448
GCF_000317535.1	ASM31753v1	Cylindrospermum stagnale PCC 7417	6574
GCF_900176595.1	IMG-taxon 2506520046 annotated assembly	Aquiflexum balticum DSM 16537	5018
GCF_000349325.1	ASM34932v1	Streptomyces davaonensis JCM 4913	8695
GCF_900176005.1	IMG-taxon 2503538017 annotated assembly	Thermanaeromonas toyohensis ToBE	3395
GCF_001583435.1	ASM158343v1	Endozoicomonas montiporae CL-33	5015
GCF_000427095.1	T49	Chthonomonas calidirosea T49	2924
GCF_000331105.1	ASM33110v1	Fibrella aestuarina BUZ 2	5814
GCF_900177425.1	IMG-taxon 2529292568 annotated assembly	Paenibacillus uliginis N3/975	6049
GCF_017301735.1	ASM1730173v1	Pyxidicoccus parkwaysis	10327
GCF_041508025.1	ASM4150802v1	Candidatus Uabimicrobium helgolandensis	6896
GCF_007752535.1	ASM775253v1	Tautonia plasticadhaerens	7636
GCF_900103775.1	IMG-taxon 2634166198 annotated assembly	Allokutzneria albata	8067
GCF_003626895.1	ASM362689v1	Nocardia yunnanensis	7565
GCF_026625565.1	ASM2662556v1	Dyadobacter pollutisoli	6455
GCF_004209755.1	ASM420975v1	Pseudoduganella lutea	6389
GCF_900090235.1	IMG-taxon 2623620557 annotated assembly	Micromonospora echinaurantiaca	6685
GCF_900091425.1	IMG-taxon 2617270872 annotated assembly	Micromonospora krabiensis	6542
GCF_900091545.1	IMG-taxon 2636416073 annotated assembly	Micromonospora viridifaciens	6508
GCF_900091455.1	IMG-taxon 2623620612 annotated assembly	Micromonospora coriariae	6516
GCF_900091505.1	IMG-taxon 2623620610 annotated assembly	Micromonospora chokoriensis	6276
GCF_900090295.1	IMG-taxon 2623620609 annotated assembly	Micromonospora coxensis	6060
GCF_900105385.1	IMG-taxon 2636416048 annotated assembly	Microlunatus soli	6147
GCF_900090285.1	IMG-taxon 2623620396 annotated assembly	Micromonospora inositola	6456
GCF_007752935.1	ASM775293v1	Crateriforma conspicua	5300
GCF_900089605.1	IMG-taxon 2617270834 annotated assembly	Micromonospora narathiwatensis	5914
GCF_025398735.1	ASM2539873v1	Tahibacter amnicola	5119
GCF_900104745.1	IMG-taxon 2636416006 annotated assembly	Actinopolymorpha singaporensis	5767
GCF_000317145.1	ASM31714v1	Chamaesiphon minutus PCC 6605	6479
GCF_900090305.1	IMG-taxon 2634166273 annotated assembly	Micromonospora siamensis	5759
GCF_900105165.1	IMG-taxon 2667528181 annotated assembly	Mucilaginibacter mallensis	4961
GCF_029581355.1	ASM2958135v1	Parabacteroides chongii	4742
GCF_016894225.1	ASM1689422v1	Sphingobacterium multivorum	5165
GCF_007754425.1	ASM775442v1	Gimesia fumaroli	5934
GCF_002214185.1	ASM221418v1	Streptomyces capitiformicae	10013
GCF_014109765.1	ASM1410976v1	Pseudomonas berkeleyensis	5299
GCF_026410085.1	ASM2641008v1	Pseudomonas quebecensis	5211
GCF_040359615.1	ASM4035961v1	Tunturibacter psychrotolerans	4737
GCF_003367395.1	ASM336739v1	Pseudolabrys taiwanensis	5343
GCF_040358255.1	ASM4035825v1	Tunturibacter gelidoferens	4687
GCF_011045195.1	ASM1104519v1	Caulobacter soli	5300
GCF_003855155.1	ASM385515v1	Shewanella psychromarinicola	4485
GCF_007753265.1	ASM775326v1	Botrimarina mediterranea	4576
GCF_003971235.1	ASM397123v1	Chryseobacterium aureum	4595
GCF_024666565.1	ASM2466656v1	Svornostia abyssi	5141
GCF_023078335.1	ASM2307833v1	Metabacillus endolithicus	5521
GCF_030770395.1	ASM3077039v1	Telluria beijingensis	5299
GCF_005160265.1	ASM516026v1	Phreatobacter aquaticus	4762
GCF_025790165.1	ASM2579016v1	Solicola gregarius	4823
GCF_040358985.1	ASM4035898v1	Tunturibacter empetritectus	4217
GCF_007744255.1	ASM774425v1	Thalassoglobus polymorphus	4663
GCF_900105065.1	IMG-taxon 2630969010 annotated assembly	Friedmanniella luteola	4403
GCF_900104805.1	IMG-taxon 2667527434 annotated assembly	Pseudomonas oryzae	4293
GCF_007753095.1	ASM775309v1	Rosistilla carotiformis	5386
GCF_031834595.1	ASM3183459v1	Stenotrophomonas oahuensis	4197
GCF_007744675.1	ASM774467v1	Gimesia alba	5889
GCF_900101785.1	IMG-taxon 2636415982 annotated assembly	Auraticoccus monumenti	4135
GCF_900105535.1	IMG-taxon 2634166282 annotated assembly	Pseudarthrobacter equi	4095
GCF_900105045.1	IMG-taxon 2634166182 annotated assembly	Brevibacterium sandarakinum	4095
GCF_900105785.1	IMG-taxon 2634166345 annotated assembly	Microlunatus sagamiharensis	4132
GCF_022014595.1	ASM2201459v1	Solitalea lacus	3782
GCF_022429625.1	ASM2242962v1	Devosia lacusdianchii	4327
GCF_007754155.1	ASM775415v1	Stieleria neptunia	7600
GCF_031834615.1	ASM3183461v1	Stenotrophomonas aracearum	3849
GCF_007725405.1	ASM772540v1	Shouchella miscanthi	4432
GCF_007746075.1	ASM774607v1	Lacipirellula limnantheis	5467
GCF_007741475.1	ASM774147v1	Rosistilla ulvae	5293
GCF_003096195.1	ASM309619v1	Ereboglobus luteus	3097
GCF_900104965.1	IMG-taxon 2634166904 annotated assembly	Nocardioides scoriae	3872
GCF_900105255.1	IMG-taxon 2675902958 annotated assembly	Halopseudomonas sabulinigri	3706
GCF_900105315.1	IMG-taxon 2634166531 annotated assembly	Brevibacterium siliguriense	3655
GCF_021233355.1	ASM2123335v1	Luteimonas fraxinea	3665
GCF_900105005.1	IMG-taxon 2667527220 annotated assembly	Halopseudomonas litoralis	3825
GCF_900104525.1	IMG-taxon 2634166372 annotated assembly	Pedococcus dokdonensis	3756
GCF_007743815.1	ASM774381v1	Alienimonas californiensis	4392
GCF_002201475.1	ASM220147v1	Acutalibacter muris	4008
GCF_008365295.1	ASM836529v1	Agromyces intestinalis	3475
GCF_900105655.1	IMG-taxon 2667527386 annotated assembly	Halopseudomonas salegens	3503
GCF_900105995.1	IMG-taxon 2667527387 annotated assembly	Pseudomonas pohangensis	3533
GCF_900100885.1	IMG-taxon 2634166516 annotated assembly	Microbacterium pygmaeum	3525
GCF_007745175.1	ASM774517v1	Caulifigura coniformis	5486
GCF_028816455.1	ASM2881645v1	Devosia algicola	3898
GCF_004803915.1	ASM480391v1	Duncaniella dubosii	3358
GCF_028463845.1	ASM2846384v1	Gimibacter soli	3301
GCF_000253115.1	ASM25311v1	Thiomonas arsenitoxydans	3657
GCF_900104945.1	IMG-taxon 2667527388 annotated assembly	Halopseudomonas xinjiangensis	3325
GCF_016698665.1	ASM1669866v1	Devosia rhizoryzae	3490
GCF_009735625.1	ASM973562v1	Moorella glycerini	3562
GCF_016698645.1	ASM1669864v1	Devosia oryziradicis	3483
GCF_019355975.1	ASM1935597v1	Acinetobacter septicus	3683
GCF_028816475.1	ASM2881647v1	Devosia rhodophyticola	3405
GCF_009768975.1	ASM976897v1	Sphingorhabdus lacus	3307
GCF_900099705.1	IMG-taxon 2634166279 annotated assembly	Agrococcus jejuensis	3290
GCF_002117125.1	ASM211712v1	Nonlabens spongiae	3136
GCF_030657335.1	ASM3065733v1	Croceibacterium aestuarii	3305
GCF_004803695.1	ASM480369v1	Muribaculum gordoncarteri	3020
GCF_003355495.1	ASM335549v1	Crenobacter cavernae	3208
GCF_018141405.1	ASM1814140v1	Serpentinicella alkaliphila	3453
GCF_032229225.1	ASM3222922v1	Stakelama saccharophila	2972
GCF_029814175.1	ASM2981417v1	Halospeciosus flavus	3788
GCF_023204835.1	ASM2320483v1	Salinarchaeum laminariae	3057
GCF_900142895.1	IMG-taxon 2698536942 annotated assembly	Vreelandella subglaciescola	2924
GCF_002240225.1	ASM224022v1	Paenibacillus physcomitrellae	4377
GCF_001753165.1	ASM175316v1	Acidihalobacter aeolianus	3420
GCF_003606385.1	ASM360638v1	Actinomyces lilanjuaniae	2688
GCF_007744515.1	ASM774451v1	Stratiformator vulcanicus	4238
GCF_007745435.1	ASM774543v1	Calycomorphotria hydatis	4252
GCF_024399475.1	ASM2439947v1	Allocoprobacillus halotolerans	3486
GCF_015529805.1	ASM1552980v1	Qipengyuania soli	2909
GCF_007748195.1	ASM774819v1	Gimesia aquarii	5694
GCF_019711315.1	ASM1971131v1	Qipengyuania gelatinilytica	2806
GCF_019711375.1	ASM1971137v1	Qipengyuania aurantiaca	2771
GCF_014334055.1	ASM1433405v1	Oscillibacter hominis	2773
GCF_003711085.1	ASM371108v1	Arcobacter peruensis	2783
GCF_001278705.1	ASM127870v1	Bacillus gobiensis	4771
GCF_003626915.1	ASM362691v1	Tsuneonella amylolytica	2760
GCF_900104705.1	IMG-taxon 2634166154 annotated assembly	Agrococcus carbonis	2690
GCF_019711355.1	ASM1971135v1	Qipengyuania psychrotolerans	2685
GCF_026230195.1	ASM2623019v1	Candidatus Paraluminiphilus aquimaris	2496
GCF_017357045.1	ASM1735704v1	Bifidobacterium imperatoris	2293
GCF_014623485.1	ASM1462348v1	Chryseobacterium manosquense	2866
GCF_004524855.1	ASM452485v1	Paraburkholderia pallida	9223
GCF_000723205.1	FAGA1	Formosa agariphila KMM 3901	3622
GCF_900106055.1	IMG-taxon 2630968294 annotated assembly	Schaalia radingae	2158
GCF_021497585.1	ASM2149758v1	Sphingomonas lutea	2497
GCF_014250475.1	ASM1425047v1	Selenomonas timonae	2281
GCF_014217255.1	ASM1421725v1	Corynebacterium incognita	2181
GCF_024721605.1	ASM2472160v1	Sphingomicrobium flavum	2395
GCF_900015215.1	CRIB_assembly_V1	Romboutsia ilealis	2516
GCF_019443985.1	ASM1944398v1	Liquorilactobacillus hordei DSM 19519	2442
GCF_001659725.1	ASM165972v1	Polynucleobacter wuianus	2322
GCF_016025255.1	ASM1602525v1	Sphingosinicella flava	2461
GCF_023101205.1	ASM2310120v1	Microbacterium aurugineum	3490
GCF_019633745.1	ASM1963374v1	Methanofollis formosanus	2686
GCF_019551435.1	ASM1955143v1	Lysobacter soyae	2071
GCF_008065115.1	ASM806511v1	Bythopirellula goksoeyrii	5148
GCF_007746795.1	ASM774679v1	Gimesia algae	6131
GCF_008035925.1	ASM803592v1	Stieleria maiorica	6811
GCF_003355155.1	ASM335515v1	Streptomyces armeniacus	7031
GCF_024022995.1	ASM2402299v1	Thermococcus aggregans	2091
GCF_013377275.1	ASM1337727v1	Vespertiliibacter pulmonis	1762
GCF_002874775.1	ASM287477v1	Monoglobus pectinilyticus	2343
GCF_003293675.1	ASM329367v1	Gardnerella leopoldii	1249
GCF_029101545.1	ASM2910154v1	Amygdalobacter indicium	1321
GCF_018687955.1	ASM1868795v1	Polynucleobacter ibericus	1949
GCF_028748125.1	ASM2874812v1	Entomospira entomophila	1740
GCF_000831385.1	ASM83138v1	Nonlabens marinus S1-08	2704
GCF_028748105.1	ASM2874810v1	Entomospira nematocerorum	1587
GCF_900142435.1	IMG-taxon 2698536703 annotated assembly	Thermocrinis minervae	1542
GCF_013307205.1	ASM1330720v1	Polynucleobacter arcticus	2132
GCF_900143685.1	PRJEB18025	Parolsenella massiliensis	1820
GCF_001975725.1	ASM197572v1	Acidihalobacter ferrooxydans	3244
GCF_006968745.1	ASM696874v1	Brasilonema sennae CENA114	6966
GCF_011682235.2	ASM1168223v2	Rhodocaloribacter litoris	3730
GCF_022870505.1	ASM2287050v1	Burkholderia perseverans	6669
GCF_003065385.1	ASM306538v1	Polynucleobacter acidiphobus	1950
GCF_001639105.2	ASM163910v2	Azospirillum humicireducens	6139
GCF_030758955.1	ASM3075895v1	Agrococcus beijingensis	2830
GCF_007748155.1	ASM774815v1	Gimesia panareensis	5999
GCF_003855255.1	ASM385525v1	Mycolicibacterium nivoides	6720
GCF_010233585.1	ASM1023358v1	Spirosoma endbachense	8399
GCF_028830055.1	ASM2883005v1	Pseudomonas serboccidentalis	5450
GCF_001907975.1	ASM190797v2	Silvanigrella aquatica	2959
GCF_016696765.1	ASM1669676v1	Turicimonas muris	2629
GCF_001870225.1	ASM187022v1	Gloeomargarita lithophora Alchichica-D10	3133
GCF_002243385.1	ASM224338v1	Mogibacterium pumilum	1807
GCF_003390515.1	ASM339051v1	Vibrio anguillarum	3447
GCF_016599875.1	ASM1659987v1	Comamonas testosteroni	5054
GCF_019665745.1	ASM1966574v1	Enterobacter cancerogenus	4453
GCF_004006375.1	ASM400637v1	Komagataeibacter xylinus	3599
GCF_018502105.1	ASM1850210v1	Mammaliicoccus lentus	2586
GCF_022557135.1	ASM2255713v1	Staphylococcus coagulans	2390
GCF_900240005.1	BStabCH16	Burkholderia stabilis	7865
GCF_000021705.1	ASM2170v1	Candidatus Hamiltonella defensa 5AT (Acyrthosiphon pisum)	2228
GCF_024820135.1	ASM2482013v1	Candidatus Nasuia deltocephalinicola	160
GCF_900108535.1	IMG-taxon 2675902960 annotated assembly	Stutzerimonas xanthomarina	4021
GCF_030685395.1	ASM3068539v1	Photobacterium leiognathi subsp. mandapamensis	4336
GCF_012223425.1	ASM1222342v1	Mycolicibacterium frederiksbergense	6552
GCF_003966875.1	ASM396687v1	Melissococcus plutonius	1781
GCF_002082135.1	ASM208213v1	Achromobacter ruhlandii	5867
GCF_016893685.1	ASM1689368v1	Citrobacter cronae	4439
GCF_902164725.1	25426_7#251	Pseudescherichia vulneris	3666
GCF_036287335.1	ASM3628733v1	Dietzia cinnamea	3450
GCF_000973065.1	ASM97306v1	Limnospira indica PCC 8005	5712
GCF_900103795.1	IMG-taxon 2636416078 annotated assembly	Pseudomonas antarctica	5894
GCF_032164165.1	ASM3216416v1	Pseudomonas inefficax	5353
GCF_004354305.1	ASM435430v1	Shewanella decolorationis	4203
GCF_016919645.1	ASM1691964v1	Mycolicibacterium austroafricanum	6046
GCF_900105105.1	IMG-taxon 2675903128 annotated assembly	Maribacter dokdonensis	3917
GCF_034647275.2	ASM3464727v2	Mycoplasmopsis felis	827
GCF_001543125.1	ASM154312v1	Pseudomonas agarici	4932
GCF_000941095.1	ASM94109v1	Ureaplasma diversum	778
GCF_012273195.1	ASM1227319v1	Enterocloster clostridioformis	5511
GCF_018140635.1	ASM1814063v1	Anaerobutyricum hallii	3189
GCF_900104735.1	IMG-taxon 2636416176 annotated assembly	Pseudomonas lini	5931
GCF_900104125.1	IMG-taxon 2639762506 annotated assembly	Pseudomonas reinekei	5813
GCF_007833675.1	ASM783367v1	Pedobacter suwonensis	4748
GCF_018288855.1	ASM1828885v1	Rahnella inusitata	5092
GCF_009650015.1	ASM965001v1	Loigolactobacillus bifermentans	3236
GCF_001263755.1	ASM126375v1	Corynebacterium riegelii	2447
GCF_030708075.1	ASM3070807v1	Candidatus Epulonipiscium viviparus	2749
GCF_045159795.1	UNIUD_Bmur_A03_1.0	Peribacillus muralis	4622
GCF_041531565.1	ASM4153156v1	Stenotrophomonas sepilia	4109
GCF_900104915.1	IMG-taxon 2636416193 annotated assembly	Pseudomonas cedrina	6000
GCF_016919345.1	ASM1691934v1	Mycolicibacterium septicum	6328
GCF_040703065.1	ASM4070306v1	Bacillus infantis	4979
GCF_003176875.1	ASM317687v1	Legionella anisa	3897
GCF_003051865.1	ASM305186v1	Microvirgula aerodenitrificans	3911
GCF_900186025.1	BXF1	Serratia grimesii	4764
GCF_009184845.1	ASM918484v1	Lacticaseibacillus manihotivorans	3455
GCF_023497905.1	ASM2349790v1	Phascolarctobacterium succinatutens	2253
GCF_000073005.1	ASM7300v1	Wolbachia endosymbiont of Culex quinquefasciatus Pel	1417
GCF_000512145.1	ASM51214v2	Borrelia parkeri HR1	984
GCF_014295435.1	ASM1429543v1	Mycolicibacterium fluoranthenivorans	6881
GCF_900105825.1	IMG-taxon 2667527228 annotated assembly	Pseudomonas vancouverensis	5929
GCF_013394205.1	ASM1339420v1	Neptunomonas phycophila	3655
GCF_002381345.1	ASM238134v1	Candidatus Enterovibrio altilux	2044
GCF_017795185.1	ASM1779518v1	Pseudooceanicola nitratireducens	3359
GCF_043585715.1	BIOSURF_235_rtg_scaffold	Vreelandella stevensii	3570
GCF_017301635.1	ASM1730163v1	Myxococcus landrumus	8136
GCF_014109745.1	ASM1410974v1	Sphingobacterium paramultivorum	5370
GCF_020525665.1	ASM2052566v1	Klebsiella quasivariicola	5714
GCF_014263315.1	ASM1426331v1	Mycobacterium kubicae	5165
GCF_019598945.1	ASM1959894v1	Sphaerospermopsis torques-reginae ITEP-024	4951
GCF_014109725.1	ASM1410972v1	Comamonas piscis	4715
GCF_900104535.1	IMG-taxon 2636416005 annotated assembly	Nakamurella panacisegetis	4566
GCF_038719015.1	WH0682302A11__HBCM-B1154_hybrid_assembly	Nguyenibacter vanlangensis	4462
GCF_017795125.1	ASM1779512v1	Pseudooceanicola atlanticus	4329
GCF_030409055.1	ASM3040905v1	Trichocoleus desertorum NBK24	5018
GCF_900105425.1	IMG-taxon 2630968293 annotated assembly	Winogradskyella sediminis	3239
GCF_023101165.1	ASM2310116v1	Microbacterium sufflavum	3470
GCF_017795365.1	ASM1779536v1	Hyphomonas atlantica	3422
